timestamp,high,low,open,close
2023-05-06 16:40:43,29006.1936,28864.1792,28909.6944,28935.8448
2023-05-06 17:00:22,28935.8448,28526.7248,28908.225599999998,28659.7056
2023-05-06 17:30:20,28694.644800000002,28574.7536,28607.9344,28673.7056
2023-05-06 17:40:00,28673.7056,28561.896,28673.7056,28606.612800000003
2023-05-06 18:00:00,28606.612800000003,28338.9504,28598.4336,28542.894399999997
2023-05-06 18:30:06,28609.995199999998,28498.9248,28568.7632,28567.016
2023-05-06 18:40:00,28633.016,28554.5936,28567.016,28576.612800000003
2023-05-06 19:00:00,28663.166400000002,28535.2656,28576.612800000003,28637.2752
2023-05-06 19:29:52,28698.2944,28627.3056,28695.5856,28663.9344
2023-05-06 19:40:00,28713.8256,28638.5936,28663.9344,28701.5248
2023-05-06 20:00:00,28704.0944,28670.0752,28701.5248,28699.995199999998
2023-05-06 20:29:27,28843.8448,28692.7248,28810.4848,28754.612800000003
2023-05-06 20:40:00,28786.8848,28739.745600000002,28754.612800000003,28771.896
2023-05-06 21:00:02,28931.8352,28770.4432,28771.896,28877.896
2023-05-06 21:30:00,28908.0944,28833.5568,28863.6656,28896.603199999998
2023-05-06 21:40:00,28963.444799999997,28878.984,28896.603199999998,28912.4336
2023-05-06 22:00:00,28964.673600000002,28851.2464,28912.235200000003,28865.166400000002
2023-05-06 22:29:26,28899.675199999998,28850.6832,28877.4864,28863.966399999998
2023-05-06 22:40:00,28883.976000000002,28841.300799999997,28863.966399999998,28842.824
2023-05-06 23:00:03,28869.995199999998,28776.1344,28842.7248,28856.624
2023-05-06 23:29:57,28862.644800000002,28797.3168,28812.315199999997,28816.8448
2023-05-06 23:40:00,28849.646399999998,28786.7056,28816.8448,28795.896
2023-05-07 00:00:01,28824.4048,28727.387199999997,28795.896,28774.785600000003
2023-05-07 00:36:55,28782.774400000002,28664.7344,28738.995199999998,28774.785600000003
2023-05-07 00:52:20,28818.216,28643.4352,28710.004800000002,28710.004800000002
2023-05-07 01:00:00,28809.6144,28758.4432,28807.4352,28802.0144
2023-05-07 01:20:00,28851.976000000002,28802.0144,28802.0144,28806.2048
